#SampleID	Metaphlan2_Analysis
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae|Cybelea|Cybelea tyrphae	7
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae|Elarobacter|	7
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae|Tumulicola|	7
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9||	7
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9|20CM-2-65-7|	7
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9|JACDDX01|	14
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9|SPDF01|	7
Bacteria|Gemmatimonadota|Gemmatimonadetes|JACCXV01|JAHWKZ01||	7
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6||	28
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6|AR12|	7
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6|AR5|	7
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6|AR9|	7
Bacteria|Myxococcota_A|UBA9160|SZUA-336|SZUA-336|VGRW01|	7
Bacteria|Myxococcota_A|UBA9160|UBA9160|UBA6930|VGRF01|	7
Bacteria|Myxococcota|Myxococcia|Myxococcales|40CM-4-68-19|40CM-4-68-19|	7
Bacteria|Myxococcota|Myxococcia|Myxococcales|Anaeromyxobacteraceae||	7
Bacteria|Myxococcota|Myxococcia|Myxococcales|Myxococcaceae|JADGRA01|	7
Bacteria|Myxococcota|Polyangia|Fen-1088|Fen-1088||	14
Bacteria|Myxococcota|Polyangia|Fen-1088|Fen-1088|JADGRB01|	7
Bacteria|Myxococcota|Polyangia|Haliangiales|Haliangiaceae|JABFXX01|	7
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae||	7
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|Palsa-1150|	49
